"","Metadata_Slide","Metadata_Experiment","Metadata_Stiffness","Metadata_Row","Metadata_Column","Metadata_Treatment","Metadata_Ratio","Metadata_ECMs","Abb_ECMs","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Percent_Positive","SD_Percent_Positive","Mean_Blue","SD_Blue","Mean_Green","SD_Green","CollagenI","CollagenIV","Laminin","Hyaluronic_Acid","TenascinC","Osteopontin","Galectin3","Fibronectin","Decorin","Metadata_Block","Replicate","Conditions"
"1",1,"BAA3DPe1","1kPa",1,4,"20 uM","50/50","DecorinFibronectin","DN:FN",10,0,2.302585093,0,0,0,0.2066656515,0.0825266076835393,0.0193001585,0.00591507155467159,0,0,0,0,0,0,0,0.5,0.5,"6",1,"DN:FN 50/50"
"2",1,"BAA3DPe1","1kPa",1,5,"20 uM","50/50","LamininFibronectin","LN:FN",5,5.65685424949238,1.0986122885,1.55367239818644,0,0,0.193127795,NA,0.0179526305,NA,0,0,0.5,0,0,0,0,0.5,0,"6",1,"LN:FN 50/50"
"3",1,"BAA3DPe1","1kPa",1,6,"20 uM","25/75","Tenascin CDecorin","TC:DN",8.66666666666667,2.08166599946613,2.14108232133333,0.23221181567039,0,0,0.175002731666667,0.0818892429558473,0.027333311,0.0159833494998411,0,0,0,0,0.25,0,0,0,0.75,"6",1,"TC:DN 25/75"
"4",1,"BAA3DPe1","1kPa",1,7,"20 uM","25/75","LamininFibronectin","LN:FN",7.66666666666667,7.23417813807024,1.75249845733333,0.895057738186948,16.6666666666667,28.8675134594813,0.144928315333333,0.090418443991164,0.03866162,0.0240933496990463,0,0,0.25,0,0,0,0,0.75,0,"6",1,"LN:FN 25/75"
"5",1,"BAA3DPe1","1kPa",1,8,"20 uM","75/25","Collagen IVLaminin","C4:LN",14.6666666666667,4.04145188432738,2.65633726033333,0.30635836355447,13.7254901966667,23.7732463794152,0.205642349666667,0.0765161964987423,0.0328355006666667,0.0272957354935682,0,0.75,0.25,0,0,0,0,0,0,"6",1,"C4:LN 75/25"
"6",1,"BAA3DPe1","1kPa",1,9,"20 uM","50/50","OsteopontinDecorin","OPN:DN",9.66666666666667,6.42910050732864,2.12952046833333,0.632211308832706,5.88235294,10.1885341601322,0.198401936,0.0774156866896628,0.0505763923333333,0.0999594369438485,0,0,0,0,0,0.5,0,0,0.5,"6",1,"OPN:DN 50/50"
"7",1,"BAA3DPe1","1kPa",1,10,"20 uM","50/50","DecorinGalectin 3","DN:G3",19,19.313207915828,2.36335894533333,1.52732184204025,0,0,0.241240119,0.0784925213314748,0.0229351186666667,0.00664610984448291,0,0,0,0,0,0,0.5,0,0.5,"6",1,"DN:G3 50/50"
"8",1,"BAA3DPe1","1kPa",1,11,"20 uM","100","Collagen I","C1",68,55.0545184340032,3.93736542933333,0.984421012196367,2.41682360333333,2.84726414871864,0.217982770333333,0.102307432483696,0.0263330306666667,0.0144020355511158,1,0,0,0,0,0,0,0,0,"6",1,"C1 100"
"9",1,"BAA3DPe1","1kPa",1,12,"20 uM","75/25","Collagen IVDecorin","C4:DN",55.5,60.1040764008565,3.574958418,1.42836851218591,0.5102040815,0.721537531635408,0.2439007615,0.0807838965020638,0.0301270515,0.0134997248909097,0,0.75,0,0,0,0,0,0,0.25,"6",1,"C4:DN 75/25"
"10",1,"BAA3DPe1","1kPa",2,1,"20 uM","75/25","LamininHyaluronic Acid","LN:HA",15.3333333333333,2.08166599946613,2.72358380766667,0.140685830494393,0,0,0.23026503,0.0927944600929722,0.0248096633333333,0.0109043800875436,0,0,0.75,0.25,0,0,0,0,0,"6",1,"LN:HA 75/25"
"11",1,"BAA3DPe1","1kPa",2,2,"20 uM","75/25","Collagen IVGalectin 3","C4:G3",34.6666666666667,23.2880512996114,3.27264322166667,1.03523627223978,1.96078431366667,3.39617805395474,0.163803021333333,0.084583102174342,0.0247254973333333,0.0163976805521973,0,0.75,0,0,0,0,0.25,0,0,"6",1,"C4:G3 75/25"
"12",1,"BAA3DPe1","1kPa",2,3,"20 uM","25/75","Collagen IHyaluronic Acid","C1:HA",44.6666666666667,24.5831920899897,3.70783039133333,0.506966536498883,3.58162100466667,5.06374972791492,0.224286057,0.106118675556878,0.0261736473333333,0.0178769556534532,0.25,0,0,0.75,0,0,0,0,0,"6",1,"C1:HA 25/75"
"13",1,"BAA3DPe1","1kPa",2,4,"20 uM","25/75","Collagen IDecorin","C1:DN",53.6666666666667,29.2631736715848,3.83523314,0.727894096157824,1.47058823533333,2.54713354061039,0.208172268666667,0.0815317773918441,0.0233440676666667,0.0117864241558762,0.25,0,0,0,0,0,0,0,0.75,"6",1,"C1:DN 25/75"
"14",1,"BAA3DPe1","1kPa",2,5,"20 uM","50/50","LamininOsteopontin","LN:OPN",7.66666666666667,3.05505046330389,1.98441444466667,0.395636434264289,0,0,0.230511253333333,0.084356870882124,0.0224109613333333,0.00921626593030522,0,0,0.5,0,0,0.5,0,0,0,"6",1,"LN:OPN 50/50"
"15",1,"BAA3DPe1","1kPa",2,6,"20 uM","75/25","Tenascin CFibronectin","TC:FN",11.6666666666667,5.85946527708232,2.34036132133333,0.636509568581622,8.630952381,9.46316255688439,0.175929094666667,0.100965658080565,0.0339592326666667,0.0289454557323907,0,0,0,0,0.75,0,0,0.25,0,"6",1,"TC:FN 75/25"
"16",1,"BAA3DPe1","1kPa",2,7,"20 uM","50/50","Collagen ITenascin C","C1:TC",79.3333333333333,33.0807093837683,4.300829825,0.492931564091852,0.317460317333333,0.549857399008272,0.210790298333333,0.0811197390957843,0.022605439,0.0085896297070821,0.5,0,0,0,0.5,0,0,0,0,"6",1,"C1:TC 50/50"
"17",1,"BAA3DPe1","1kPa",2,8,"20 uM","25/75","LamininTenascin C","LN:TC",19.6666666666667,21.1266025033211,2.59105789333333,1.05298290650469,7.40740740666667,12.8300059807087,0.164990348666667,0.0703259903015319,0.0316170953333333,0.0290478302302809,0,0,0.25,0,0.75,0,0,0,0,"6",1,"LN:TC 25/75"
"18",1,"BAA3DPe1","1kPa",2,9,"20 uM","25/75","Hyaluronic AcidDecorin","HA:DN",14,13.228756555323,2.316938256,0.995911757511591,0,0,0.274799203,0.0958704624785276,0.024120754,0.0123519466462883,0,0,0,0.25,0,0,0,0,0.75,"6",1,"HA:DN 25/75"
"19",1,"BAA3DPe1","1kPa",2,10,"20 uM","75/25","OsteopontinFibronectin","OPN:FN",21.6666666666667,17.5023807904334,2.71363282,1.18461601168637,0,0,0.240782678666667,0.0816791806182741,0.0215940076666667,0.00364570559433287,0,0,0,0,0,0.75,0,0.25,0,"6",1,"OPN:FN 75/25"
"20",1,"BAA3DPe1","1kPa",2,11,"20 uM","25/75","Tenascin CGalectin 3","TC:G3",52,49,3.607099043,1.05413755668001,6.80166147566667,8.74542740672193,0.155121489333333,0.0971337964252449,0.042961648,0.0608007714125865,0,0,0,0,0.25,0,0.75,0,0,"6",1,"TC:G3 25/75"
